virus,lineage,ID
BCoV1,GL_1,JN129835.1
BCoV1,GL_1,JN129834.1
BCoV1,GL_1,KF923905.1
BCoV1,GL_1,KF923899.1
BCoV1,GL_1,KF923900.1
BCoV1,GL_1,KF530070.1
BCoV1,GL_1,KF530081.1
BCoV1,GL_1,KF530068.1
BCoV1,GL_1,KF530069.1
BCoV1,GL_1,KF530099.1
BCoV1,GL_1,KF530063.1
BCoV1,GL_1,KF530084.1
BCoV1,GL_1,KF530098.1
BCoV1,GL_1,KF530096.1
BCoV1,GL_1,KF530095.1
BCoV1,GL_1,KF530067.1
BCoV1,GL_1,KF530089.1
BCoV1,GL_1,KF530082.1
BCoV1,GL_1,KF530094.1
BCoV1,GL_1,KF530079.1
BCoV1,GL_1,KF530088.1
BCoV1,GL_1,KF530091.1
BCoV1,GL_1,KF530071.1
BCoV1,GL_1,KF530076.1
BCoV1,GL_1,MN026165.1
BCoV1,GL_1,KY967360.1
BCoV1,GL_1,MF314143.1
BCoV1,GL_1,KU131570.1
BCoV1,GL_1,KY014282.1
BCoV1,GL_1,KP198610.1
BCoV1,GL_1,KP198611.1
BCoV1,GL_1,KF923906.1
BCoV1,GL_1,KF923896.1
BCoV1,GL_1,KF530078.1
BCoV1,GL_1,KF530064.1
BCoV1,GL_1,KY014281.1
BCoV1,GL_1,KF530092.1
BCoV1,GL_1,KF530072.1
BCoV1,GL_1,KF530080.1
BCoV1,GL_1,AY903459.1
BCoV1,GL_1,KF923888.1
BCoV1,GL_1,KF923887.1
BCoV1,GL_1,KF923889.1
BCoV1,GL_1,KF923886.1
BCoV1,GL_1,KF923898.1
BCoV1,GL_1,MG197714.1
BCoV1,GL_1,MG197719.1
BCoV1,GL_1,MN310476.1
BCoV1,GL_1,MN306043.1
BCoV1,GL_1,MK303625.1
BCoV1,GL_1,MG197709.1
BCoV1,GL_1,MG197711.1
BCoV1,GL_1,MG197720.1
BCoV1,GL_1,MG197718.1
BCoV1,GL_1,MG197721.1
BCoV1,GL_1,AY391777.1
BCoV1,GL_1,NC_006213.1
BCoV1,GL_1,AY585229.1
BCoV1,ML_1,MG197716.1
BCoV1,ML_1,MG197717.1
BCoV1,ML_1,MG197722.1
BCoV1,ML_1,MG197710.1
BCoV1,ML_1,MG197712.1
BCoV1,ML_1,MG197715.1
BCoV1,ML_1,MG197713.1
BCoV1,ML_1,KF923902.1
BCoV1,ML_1,KX538978.1
BCoV1,ML_1,MK303622.1
BCoV1,ML_1,KX538979.1
BCoV1,ML_1,KX538966.1
BCoV1,ML_1,MK303620.1
BCoV1,ML_1,KX538976.1
BCoV1,ML_1,KX538972.1
BCoV1,ML_1,KF923904.1
BCoV1,ML_1,KX538964.1
BCoV1,ML_1,KX538970.1
BCoV1,ML_1,MN026164.1
BCoV1,ML_1,MG977451.1
BCoV1,ML_1,MG977445.1
BCoV1,ML_1,MG977444.1
BCoV1,ML_1,MF374983.2
BCoV1,ML_1,MN306042.1
BCoV1,ML_1,MN306053.1
BCoV1,ML_1,MN306041.1
BCoV1,ML_1,KY369905.1
BCoV1,ML_1,KY967358.1
BCoV1,ML_1,KY983583.1
BCoV1,ML_1,KY684759.1
BCoV1,ML_1,MG197723.1
BCoV1,ML_1,KY369906.1
BCoV1,ML_1,KY983585.1
BCoV1,ML_1,MH121121.1
BCoV1,ML_1,KY369907.1
BCoV1,ML_1,MF374985.2
BCoV1,ML_1,KF923897.1
BCoV1,ML_1,KF923903.1
BCoV1,ML_1,KX538975.1
BCoV1,ML_1,KX538969.1
BCoV1,ML_1,KX538977.1
BCoV1,ML_1,KX538967.1
BCoV1,ML_1,KX538965.1
BCoV1,ML_1,KX538973.1
BCoV1,ML_1,KX538968.1
BCoV1,ML_1,KX538974.1
BCoV1,ML_1,KX538971.1
BCoV1,ML_1,MK303621.1
BCoV1,ML_1,MK303623.1
BCoV1,ML_1,MK303624.1
BCoV1,ML_1,MK303619.1
BCoV1,ML_1,KX344031.1
BCoV1,ML_1,MH685718.1
BCoV1,ML_1,KY554974.1
BCoV1,ML_1,KY674920.1
BCoV1,ML_1,KF923912.1
BCoV1,ML_1,KF923890.1
BCoV1,ML_1,KF923907.1
BCoV1,ML_1,KF923911.1
BCoV1,ML_1,KF923916.1
BCoV1,ML_1,KF923909.1
BCoV1,ML_1,KF923892.1
BCoV1,ML_1,KF923921.1
BCoV1,ML_1,KF923908.1
BCoV1,ML_1,KF923919.1
BCoV1,ML_1,KF923914.1
BCoV1,ML_1,KF923894.1
BCoV1,ML_1,KF923915.1
BCoV1,ML_1,KF923913.1
BCoV1,ML_1,KF923920.1
BCoV1,ML_1,KF923917.1
BCoV1,ML_1,KF923901.1
BCoV1,ML_1,KF923891.1
BCoV1,ML_1,KF923910.1
BCoV1,ML_1,KF923923.1
BCoV1,ML_1,KJ958218.1
BCoV1,ML_1,KJ958219.1
BCoV1,ML_1,KF923925.1
BCoV1,ML_1,KF923922.1
BCoV1,ML_1,KF923893.1
BCoV1,ML_1,KF923918.1
BCoV1,ML_1,KF923895.1
BCoV1,ML_1,KF923924.1
BCoV1,ML_1,KY554972.1
BCoV1,ML_1,AY903460.1
BCoV1,ML_1,JN129835.1
BCoV1,ML_1,JN129834.1
BCoV1,ML_1,KF923905.1
BCoV1,ML_1,KF923899.1
BCoV1,ML_1,KF923900.1
BCoV1,ML_1,KF530070.1
BCoV1,ML_1,KF530081.1
BCoV1,ML_1,KF530068.1
BCoV1,ML_1,KF530069.1
BCoV1,ML_1,KF530099.1
BCoV1,ML_1,KF530063.1
BCoV1,ML_1,KF530084.1
BCoV1,ML_1,KF530098.1
BCoV1,ML_1,KF530096.1
BCoV1,ML_1,KF530095.1
BCoV1,ML_1,KF530067.1
BCoV1,ML_1,KF530089.1
BCoV1,ML_1,KF530082.1
BCoV1,ML_1,KF530094.1
BCoV1,ML_1,KF530079.1
BCoV1,ML_1,KF530088.1
BCoV1,ML_1,KF530091.1
BCoV1,ML_1,KF530071.1
BCoV1,ML_1,KF530076.1
BCoV1,ML_2,MN026165.1
BCoV1,ML_2,KY967360.1
BCoV1,ML_2,MF314143.1
BCoV1,ML_2,KU131570.1
BCoV1,ML_2,KY014282.1
BCoV1,ML_2,KP198610.1
BCoV1,ML_2,KP198611.1
BCoV1,ML_2,KF923906.1
BCoV1,ML_2,KF923896.1
BCoV1,ML_2,KF530078.1
BCoV1,ML_2,KF530064.1
BCoV1,ML_2,KY014281.1
BCoV1,ML_2,KF530092.1
BCoV1,ML_2,KF530072.1
BCoV1,ML_2,KF530080.1
BCoV1,ML_2,AY903459.1
BCoV1,ML_2,KF923888.1
BCoV1,ML_2,KF923887.1
BCoV1,ML_2,KF923889.1
BCoV1,ML_2,KF923886.1
BCoV1,ML_2,KF923898.1
BCoV1,ML_2,MG197714.1
BCoV1,ML_2,MG197719.1
BCoV1,ML_2,MN310476.1
BCoV1,ML_2,MN306043.1
BCoV1,ML_2,MK303625.1
BCoV1,ML_2,MG197709.1
BCoV1,ML_2,MG197711.1
BCoV1,ML_2,MG197720.1
BCoV1,ML_2,MG197718.1
BCoV1,ML_2,MG197721.1
BCoV1,ML_3,KF530083.1
BCoV1,ML_3,KF530086.1
BCoV1,ML_3,KF530077.1
BCoV1,ML_3,KF530060.1
BCoV1,ML_3,KF530087.1
BCoV1,ML_3,KF530085.1
BCoV1,ML_3,KF530074.1
BCoV1,ML_3,KF530097.1
BCoV1,ML_3,KF530090.1
BCoV1,ML_3,KF530075.1
BCoV1,ML_3,KF530061.1
BCoV1,ML_3,KF530066.1
BCoV1,ML_3,KF530073.1
BCoV1,ML_3,KF530065.1
CHIKV,GL_1,MK028840.1
CHIKV,GL_1,EF452493.1
CHIKV,GL_1,KU355832.1
CHIKV,GL_1,LC500215.1
CHIKV,GL_1,LC500220.1
CHIKV,GL_1,LC500217.1
CHIKV,GL_1,KY680385.1
CHIKV,GL_1,KY680395.1
CHIKV,GL_1,KY680406.1
CHIKV,GL_1,KY680410.1
CHIKV,GL_1,KY680349.1
CHIKV,GL_1,KY272963.1
CHIKV,GL_1,KY575566.1
CHIKV,GL_1,KY680351.1
CHIKV,GL_1,KY680401.1
CHIKV,GL_1,KY680368.1
CHIKV,GL_1,KY680412.1
CHIKV,GL_1,KY680354.1
CHIKV,GL_1,KU365374.1
CHIKV,GL_1,KY680403.1
CHIKV,GL_1,KY680378.1
CHIKV,GL_1,KR559479.1
CHIKV,GL_1,KR264951.1
CHIKV,GL_1,KY680392.1
CHIKV,GL_1,KY680404.1
CHIKV,GL_1,KR264949.1
CHIKV,GL_1,MF001518.1
CHIKV,GL_1,KY680394.1
CHIKV,GL_1,KY680350.1
CHIKV,GL_1,KY680348.1
CHIKV,GL_1,KY680409.1
CHIKV,GL_1,KR559482.1
CHIKV,GL_1,KR559480.1
CHIKV,GL_1,MF001506.1
CHIKV,GL_1,MF001508.1
CHIKV,GL_1,KY680380.1
CHIKV,GL_1,MF001516.1
CHIKV,GL_1,MF001517.1
CHIKV,GL_1,KY680381.1
CHIKV,GL_1,KY575572.1
CHIKV,GL_1,KY680408.1
CHIKV,GL_1,KY272967.1
CHIKV,GL_1,KY575569.1
CHIKV,GL_1,KY680357.1
CHIKV,GL_1,MF001510.1
CHIKV,GL_1,MF001507.1
CHIKV,GL_1,KY680374.1
CHIKV,GL_1,KY680387.1
CHIKV,GL_1,KY680358.1
CHIKV,GL_1,KY680369.1
CHIKV,GL_1,KY680360.1
CHIKV,GL_1,KY272961.1
CHIKV,GL_1,KY272966.1
CHIKV,GL_1,MF001513.1
CHIKV,GL_1,MF001512.1
CHIKV,GL_1,KY680377.1
CHIKV,GL_1,KR559474.1
CHIKV,GL_1,KY680362.1
CHIKV,GL_1,KY680414.1
CHIKV,GL_1,KY680411.1
CHIKV,GL_1,KP164571.1
CHIKV,GL_1,KY680383.1
CHIKV,GL_1,KY680371.1
CHIKV,GL_1,MT150093.1
CHIKV,GL_1,MT150094.1
CHIKV,GL_1,MT150092.1
CHIKV,GL_1,MT150097.1
CHIKV,GL_1,MT150096.1
CHIKV,GL_1,MT150099.1
CHIKV,GL_1,MT150095.1
CHIKV,GL_1,MT150098.1
CHIKV,GL_1,KY703969.1
CHIKV,GL_1,MH329297.1
CHIKV,GL_1,MH329298.1
CHIKV,GL_1,MN462659.1
CHIKV,GL_1,MN462655.1
CHIKV,GL_1,MN462639.1
CHIKV,GL_1,MN462646.1
CHIKV,GL_1,KY680370.1
CHIKV,GL_1,MN462643.1
CHIKV,GL_1,MN462644.1
CHIKV,GL_1,MN462645.1
CHIKV,GL_1,MN462641.1
CHIKV,GL_1,MN462640.1
CHIKV,GL_1,MN462648.1
CHIKV,GL_1,LC500222.1
CHIKV,GL_1,LC500219.1
CHIKV,GL_1,LC500216.1
CHIKV,GL_1,LC500218.1
CHIKV,GL_1,LC500221.1
CHIKV,GL_1,KY703963.1
CHIKV,GL_1,KY704000.1
CHIKV,GL_1,KY703932.1
CHIKV,GL_1,KY703949.1
CHIKV,GL_1,KR559485.1
CHIKV,GL_1,KY435481.1
CHIKV,GL_1,KY703970.1
CHIKV,GL_1,KY704001.1
CHIKV,GL_1,KR046230.1
CHIKV,GL_1,KY703928.1
CHIKV,GL_1,KY703909.1
CHIKV,GL_1,KY703984.1
CHIKV,GL_1,KY703947.1
CHIKV,GL_1,KY703901.1
CHIKV,GL_1,KY703934.1
CHIKV,GL_1,KY435476.1
CHIKV,GL_1,KY680366.1
CHIKV,GL_1,KY703906.1
CHIKV,GL_1,KR046232.1
CHIKV,GL_1,KR559472.1
CHIKV,GL_1,LN898108.1
CHIKV,GL_1,KY680413.1
CHIKV,GL_1,KY435455.1
CHIKV,GL_1,KY435461.1
CHIKV,GL_1,KY680405.1
CHIKV,GL_1,KY680386.1
CHIKV,GL_1,KY680375.1
CHIKV,GL_1,KY435459.1
CHIKV,GL_1,KY680379.1
CHIKV,GL_1,MF773560.1
CHIKV,GL_1,KY680384.1
CHIKV,GL_1,KY703923.1
CHIKV,GL_1,KY703951.1
CHIKV,GL_1,KY703960.1
CHIKV,GL_1,KY703997.1
CHIKV,GL_1,KY704002.1
CHIKV,GL_1,KY703889.1
CHIKV,GL_1,KY703892.1
CHIKV,GL_1,KY703966.1
CHIKV,GL_1,KY703905.1
CHIKV,GL_1,KY703978.1
CHIKV,GL_1,KY703933.1
CHIKV,GL_1,KY703950.1
CHIKV,GL_1,KY703995.1
CHIKV,GL_1,KY703943.1
CHIKV,GL_1,KY703944.1
CHIKV,GL_1,KY703890.1
CHIKV,GL_1,KY703965.1
CHIKV,GL_1,KY703986.1
CHIKV,GL_1,KY703891.1
CHIKV,GL_1,KY703974.1
CHIKV,GL_1,KY703924.1
CHIKV,GL_1,KY703907.1
CHIKV,GL_1,KY703982.1
CHIKV,GL_1,KY703971.1
CHIKV,GL_1,KY703914.1
CHIKV,GL_1,KY703992.1
CHIKV,GL_1,KY703925.1
CHIKV,GL_1,KY703987.1
CHIKV,GL_1,KY703990.1
CHIKV,GL_1,KY703975.1
CHIKV,GL_1,KY703968.1
CHIKV,GL_1,KY703921.1
CHIKV,GL_1,KY703999.1
CHIKV,GL_1,KY703972.1
CHIKV,GL_1,KR559484.1
CHIKV,GL_1,KR559476.1
CHIKV,GL_1,KY680399.1
CHIKV,GL_1,KY435470.1
CHIKV,GL_1,KY435480.1
CHIKV,GL_1,KY435456.1
CHIKV,GL_1,KY680352.1
CHIKV,GL_1,KY680361.1
CHIKV,GL_1,KY680398.1
CHIKV,GL_1,KR559471.1
CHIKV,GL_1,KY703967.1
CHIKV,GL_1,KY703998.1
CHIKV,GL_1,KY703911.1
CHIKV,GL_1,KY703895.1
CHIKV,GL_1,KY703980.1
CHIKV,GL_1,KY680393.1
CHIKV,GL_1,KY703920.1
CHIKV,GL_1,KY703996.1
CHIKV,GL_1,KY703935.1
CHIKV,GL_1,KY703894.1
CHIKV,GL_1,KY703893.1
CHIKV,GL_1,KY703976.1
CHIKV,GL_1,KY703958.1
CHIKV,GL_1,KY703937.1
CHIKV,GL_1,KY703900.1
CHIKV,GL_1,KY703973.1
CHIKV,GL_1,KY703979.1
CHIKV,GL_1,KY703989.1
CHIKV,GL_1,KY703954.1
CHIKV,GL_1,KY703946.1
CHIKV,GL_1,KY703915.1
CHIKV,GL_1,KY703938.1
CHIKV,GL_1,KY703931.1
CHIKV,GL_1,KY703916.1
CHIKV,GL_1,KY703957.1
CHIKV,GL_1,KY703942.1
CHIKV,GL_1,KY703985.1
CHIKV,GL_1,KY703888.1
CHIKV,GL_1,KY703959.1
CHIKV,GL_1,KY703948.1
CHIKV,GL_1,KY703919.1
CHIKV,GL_1,KY703955.1
CHIKV,GL_1,KU365368.1
CHIKV,GL_1,KY435471.1
CHIKV,GL_1,KY703899.1
CHIKV,GL_1,KY703927.1
CHIKV,GL_1,KR046229.1
CHIKV,GL_1,KY703896.1
CHIKV,GL_1,KY703962.1
CHIKV,GL_1,KY703910.1
CHIKV,GL_1,KY703917.1
CHIKV,GL_1,KR559481.1
CHIKV,GL_1,KY703945.1
CHIKV,GL_1,MG921596.1
CHIKV,GL_1,KP851709.1
CHIKV,GL_1,KY703913.1
CHIKV,GL_1,KY703936.1
CHIKV,GL_1,KY703961.1
CHIKV,GL_1,KY703977.1
CHIKV,GL_1,LC259092.1
CHIKV,GL_1,KY703994.1
CHIKV,GL_1,MG967666.1
CHIKV,GL_1,KY680363.1
CHIKV,GL_1,KT192707.1
CHIKV,GL_1,LC259089.1
CHIKV,GL_1,LN898105.1
CHIKV,GL_1,LN898101.1
CHIKV,GL_1,KR559488.1
CHIKV,GL_1,KY703902.1
CHIKV,GL_1,KY703897.1
CHIKV,GL_1,KY680355.1
CHIKV,GL_1,KY680382.1
CHIKV,GL_1,KU365367.1
CHIKV,GL_1,KY680367.1
CHIKV,GL_1,KY680389.1
CHIKV,GL_1,KY680373.1
CHIKV,GL_1,KR559475.1
CHIKV,GL_1,KY703908.1
CHIKV,GL_1,KY703898.1
CHIKV,GL_1,KY680359.1
CHIKV,GL_1,KT581023.1
CHIKV,GL_1,KY703940.1
CHIKV,GL_1,KU365366.1
CHIKV,GL_1,KY415978.1
CHIKV,GL_1,KY680372.1
CHIKV,GL_1,KR559478.1
CHIKV,GL_1,KX702401.1
CHIKV,GL_1,KY680356.1
CHIKV,GL_1,KY680402.1
CHIKV,GL_1,LN898098.1
CHIKV,GL_1,KR559492.1
CHIKV,GL_1,KY435458.1
CHIKV,GL_1,KR046228.1
CHIKV,GL_1,KY575573.1
CHIKV,GL_1,KY435474.1
CHIKV,GL_1,KR559489.1
CHIKV,GL_1,KR559473.1
CHIKV,GL_1,KR559494.1
CHIKV,GL_1,KY435484.1
CHIKV,GL_1,KR559495.1
CHIKV,GL_1,MG208125.1
CHIKV,GL_1,KY435486.1
CHIKV,GL_1,KY680376.1
CHIKV,GL_1,KY435460.1
CHIKV,GL_1,KX262991.1
CHIKV,GL_1,KP164572.1
CHIKV,GL_1,KX262992.1
CHIKV,GL_1,LN898110.1
CHIKV,GL_1,KY435465.1
CHIKV,GL_1,KY680388.1
CHIKV,GL_1,LN898100.1
CHIKV,GL_1,KY435478.1
CHIKV,GL_1,KY435463.1
CHIKV,GL_1,KR046233.1
CHIKV,GL_1,KR559496.1
CHIKV,GL_1,KR559490.1
CHIKV,GL_1,KR046234.1
CHIKV,GL_1,LN898094.1
CHIKV,GL_1,KY435482.1
CHIKV,GL_1,KY435475.1
CHIKV,GL_1,KY435454.1
CHIKV,GL_1,KY435469.1
CHIKV,GL_1,KY435472.1
CHIKV,GL_1,KY435477.1
CHIKV,GL_1,KY435473.1
CHIKV,GL_1,KP164567.1
CHIKV,GL_1,KY435464.1
CHIKV,GL_1,KR046227.1
CHIKV,GL_1,KP851710.1
CHIKV,GL_1,KY435467.1
CHIKV,GL_1,KY435457.1
CHIKV,GL_1,KY435468.1
CHIKV,GL_1,KY435479.1
CHIKV,GL_1,KY435485.1
CHIKV,GL_1,LN898103.1
CHIKV,GL_1,LN898111.1
CHIKV,GL_1,KR559491.1
CHIKV,GL_1,KX496989.1
CHIKV,GL_1,LN898095.1
CHIKV,GL_1,LN898093.1
CHIKV,GL_1,LN898107.1
CHIKV,GL_1,KY435483.1
CHIKV,GL_1,KY435462.1
CHIKV,GL_1,KY680396.1
CHIKV,GL_1,KY680407.1
CHIKV,GL_1,KY272970.1
CHIKV,GL_1,KY272969.1
CHIKV,GL_1,KY272965.1
CHIKV,GL_1,KY435466.1
CHIKV,GL_1,KY680397.1
CHIKV,GL_1,MF001514.1
CHIKV,GL_1,MN462654.1
CHIKV,GL_1,MN462649.1
CHIKV,GL_1,MN462647.1
CHIKV,GL_1,MN462658.1
CHIKV,GL_1,MN462651.1
CHIKV,GL_1,MN462657.1
CHIKV,GL_1,MN462650.1
CHIKV,GL_1,MN462653.1
CHIKV,GL_1,MN462656.1
CHIKV,GL_1,MN462652.1
CHIKV,GL_1,MH329295.1
CHIKV,GL_1,MH359140.1
CHIKV,GL_1,LC259090.1
CHIKV,GL_1,MH329296.1
CHIKV,GL_1,MH359139.1
CHIKV,GL_1,KR559486.1
CHIKV,GL_1,MH329303.1
CHIKV,GL_1,MH359141.1
CHIKV,GL_1,MH329293.1
CHIKV,GL_1,MN462642.1
CHIKV,GL_1,MH359142.1
CHIKV,GL_1,MH329300.1
CHIKV,GL_1,MH329301.1
CHIKV,GL_1,MH329299.1
CHIKV,GL_1,MH329294.1
CHIKV,GL_1,KR559470.1
CHIKV,GL_1,MF001505.1
CHIKV,GL_1,MF001515.1
CHIKV,GL_1,MF001519.1
CHIKV,GL_1,MF001509.1
CHIKV,GL_1,KY680353.1
CHIKV,GL_1,MF001511.1
CHIKV,GL_1,KY680391.1
CHIKV,GL_1,KY680400.1
CHIKV,GL_1,KY272964.1
CHIKV,GL_1,KR559477.1
CHIKV,GL_1,KR559487.1
CHIKV,GL_1,KR559483.1
CHIKV,GL_1,MF773564.1
CHIKV,GL_1,MF773563.1
CHIKV,GL_1,AB860301.3
CHIKV,GL_1,MF773562.1
CHIKV,GL_1,KR559493.1
CHIKV,GL_1,MF773559.1
CHIKV,GL_1,LC259088.1
CHIKV,GL_1,KJ451622.1
CHIKV,GL_1,KJ451623.1
CHIKV,GL_1,KJ689452.1
CHIKV,GL_1,KJ689453.1
CHIKV,GL_1,KC488650.1
CHIKV,GL_1,KF318729.1
CHIKV,GL_1,LC259084.1
CHIKV,GL_1,KT308159.1
CHIKV,GL_1,KT308162.1
CHIKV,GL_1,KT308160.1
CHIKV,GL_1,KT308161.1
CHIKV,GL_1,KT308163.1
CHIKV,GL_1,LC259083.1
CHIKV,GL_1,MF773565.1
CHIKV,GL_1,MF773561.1
CHIKV,GL_1,LC259086.1
CHIKV,GL_1,FJ807897.1
CHIKV,GL_1,KX097986.1
CHIKV,GL_1,KX097988.1
CHIKV,GL_1,KX097982.1
CHIKV,GL_1,LC259087.1
CHIKV,GL_1,KM673291.1
CHIKV,GL_1,LC259085.1
CHIKV,GL_1,KY883764.1
CHIKV,GL_1,KF872195.1
CHIKV,GL_1,MG664851.1
CHIKV,GL_1,LC259091.1
CHIKV,GL_1,HE806461.1
CHIKV,GL_1,MH670649.1
CHIKV,GL_1,EU703761.1
CHIKV,GL_1,EU703760.1
CHIKV,GL_1,EU703759.1
CHIKV,GL_1,EU703762.1
CHIKV,GL_1,KM923918.1
CHIKV,GL_1,KM923917.1
CHIKV,GL_1,FN295484.2
CHIKV,GL_1,FN295483.3
CHIKV,GL_1,HM045790.1
CHIKV,GL_1,HM045800.1
CHIKV,GL_1,HM045791.1
CHIKV,GL_1,HM045797.1
CHIKV,GL_1,HM045789.1
CHIKV,GL_1,KX262988.1
CHIKV,GL_1,HM045796.1
CHIKV,GL_1,HM045802.1
CHIKV,GL_1,HM045787.1
CHIKV,GL_1,KX262987.1
CHIKV,GL_1,HM045808.1
CHIKV,GL_1,HM045814.1
CHIKV,GL_1,HM045810.1
CHIKV,GL_1,EF027140.1
CHIKV,GL_1,HM045803.1
CHIKV,GL_1,HM045813.1
CHIKV,GL_1,EF027141.1
CHIKV,GL_1,HM045788.1
CHIKV,GL_1,LC259082.1
CHIKV,GL_2,HM045811.1
CHIKV,GL_2,NC_004162.2
CHIKV,GL_2,MG280943.1
CHIKV,GL_2,AF490259.3
CHIKV,GL_2,KX262990.1
CHIKV,GL_2,KJ679577.1
CHIKV,GL_2,HM045821.1
CHIKV,GL_2,HM045806.1
CHIKV,GL_2,HM045795.1
CHIKV,GL_2,HM045805.1
CHIKV,GL_2,HM045792.1
CHIKV,GL_2,MK121895.1
CHIKV,GL_2,MK518395.1
CHIKV,GL_2,KY704939.1
CHIKV,GL_2,MH823668.1
CHIKV,GL_2,MH823665.1
CHIKV,GL_2,MH823667.1
CHIKV,GL_2,MH823663.1
CHIKV,GL_2,MH823664.1
CHIKV,GL_2,MH823666.1
CHIKV,GL_2,KU940225.1
CHIKV,GL_2,KY124329.1
CHIKV,GL_2,MG649982.1
CHIKV,GL_2,MG649978.1
CHIKV,GL_2,MG649977.1
CHIKV,GL_2,MG649980.1
CHIKV,GL_2,MG649979.1
CHIKV,GL_2,MG649972.1
CHIKV,GL_2,KY124328.1
CHIKV,GL_2,MG649975.1
CHIKV,GL_2,MG649984.1
CHIKV,GL_2,MG649971.1
CHIKV,GL_2,MG649974.1
CHIKV,GL_2,MG649973.1
CHIKV,GL_2,MG649970.1
CHIKV,GL_2,MG649976.1
CHIKV,GL_2,MG649983.1
CHIKV,GL_2,MG649981.1
CHIKV,GL_2,KY055011.1
CHIKV,GL_2,MK121891.1
CHIKV,GL_2,MN783353.1
CHIKV,GL_2,MK121893.1
CHIKV,GL_2,MK993756.1
CHIKV,GL_2,MK993755.1
CHIKV,GL_2,KP164568.1
CHIKV,GL_2,KP164570.1
CHIKV,GL_2,KP164569.1
CHIKV,GL_2,MK121896.1
CHIKV,GL_2,MG000875.1
CHIKV,GL_2,KY704954.1
CHIKV,GL_2,MN783352.1
CHIKV,GL_2,MH000706.1
CHIKV,GL_2,MH000705.1
CHIKV,GL_2,MH000700.1
CHIKV,GL_2,MH000704.1
CHIKV,GL_2,MH000702.1
CHIKV,GL_2,MH000701.1
CHIKV,GL_2,MH000703.1
CHIKV,GL_2,EF027139.1
CHIKV,GL_2,HM045812.1
CHIKV,GL_2,HM045822.1
CHIKV,GL_2,KY038946.1
CHIKV,GL_2,MT636919.1
CHIKV,GL_2,MT636909.1
CHIKV,GL_2,MT636911.1
CHIKV,GL_2,MT636920.1
CHIKV,GL_2,MT636917.1
CHIKV,GL_2,MT636918.1
CHIKV,GL_2,MT636907.1
CHIKV,GL_2,MT636910.1
CHIKV,GL_2,MT636908.1
CHIKV,GL_2,MT636914.1
