virus,tree,peptide,dNdS,fract,meandNdS
BCoV1,BCoV1_sub2,nsp2,0.1702,0.06,0.1208539
BCoV1,BCoV1_sub2,nsp3,0.1056,0.189,0.1208539
BCoV1,BCoV1_sub2,nsp4,0.0886,0.049,0.1208539
BCoV1,BCoV1_sub2,nsp5,0.0731,0.03,0.1208539
BCoV1,BCoV1_sub2,nsp6,0.1538,0.029,0.1208539
BCoV1,BCoV1_sub2,nsp7,0.1023,0.009,0.1208539
BCoV1,BCoV1_sub2,nsp8,0.2193,0.02,0.1208539
BCoV1,BCoV1_sub2,nsp9,0.2029,0.011,0.1208539
BCoV1,BCoV1_sub3,E,24.3147,0.008,0.2827482
BCoV1,BCoV1_sub3,HE,0.2414,0.042,0.2827482
BCoV1,BCoV1_sub3,M,0.3282,0.023,0.2827482
BCoV1,BCoV1_sub3,N,0.1516,0.045,0.2827482
BCoV1,BCoV1_sub3,ORF5,0.1239,0.011,0.2827482
BCoV1,BCoV1_sub3,S,0.0505,0.136,0.2827482
BCoV1,BCoV1_sub3,ns2,0.1805,0.028,0.2827482
BCoV1,BCoV1_sub3,nsp1,0.02,0.024,0.2827482
BCoV1,BCoV1_sub3,nsp10,0.02,0.014,0.2827482
BCoV1,BCoV1_sub3,nsp12,0.0201,0.092,0.2827482
BCoV1,BCoV1_sub3,nsp13,0.056,0.06,0.2827482
BCoV1,BCoV1_sub3,nsp14,0.106,0.052,0.2827482
BCoV1,BCoV1_sub3,nsp15,0.077,0.037,0.2827482
BCoV1,BCoV1_sub3,nsp16,0.02,0.03,0.2827482
BCoV1,BCoV1_sub3,nsp2,0.0711,0.06,0.2827482
BCoV1,BCoV1_sub3,nsp3,0.0588,0.189,0.2827482
BCoV1,BCoV1_sub3,nsp4,0.2754,0.049,0.2827482
BCoV1,BCoV1_sub3,nsp5,0.1541,0.03,0.2827482
BCoV1,BCoV1_sub3,nsp6,0.0417,0.029,0.2827482
BCoV1,BCoV1_sub3,nsp7,0.02,0.009,0.2827482
BCoV1,BCoV1_sub3,nsp8,0.02,0.02,0.2827482
BCoV1,BCoV1_sub3,nsp9,0.02,0.011,0.2827482
CHIKV,CHIKV_1,6k,0.5894,0.016,0.1633883
CHIKV,CHIKV_1,E1,0.1547,0.118,0.1633883
CHIKV,CHIKV_1,E2,0.1581,0.114,0.1633883
CHIKV,CHIKV_1,E3,0.3021,0.017,0.1633883
CHIKV,CHIKV_1,Peptidase_S3,0.1796,0.07,0.1633883
CHIKV,CHIKV_1,nsp1,0.1192,0.144,0.1633883
CHIKV,CHIKV_1,nsp2,0.0794,0.214,0.1633883
CHIKV,CHIKV_1,nsp3,0.2511,0.142,0.1633883
CHIKV,CHIKV_1,nsp4,0.1839,0.164,0.1633883
CHIKV,CHIKV_2,6k,0.2492,0.016,0.2331813
CHIKV,CHIKV_2,E1,0.2266,0.118,0.2331813
CHIKV,CHIKV_2,E2,0.3522,0.114,0.2331813
CHIKV,CHIKV_2,E3,0.2235,0.017,0.2331813
CHIKV,CHIKV_2,Peptidase_S3,0.1864,0.07,0.2331813
CHIKV,CHIKV_2,nsp1,0.2513,0.144,0.2331813
CHIKV,CHIKV_2,nsp2,0.1822,0.214,0.2331813
CHIKV,CHIKV_2,nsp3,0.2495,0.142,0.2331813
CHIKV,CHIKV_2,nsp4,0.2125,0.164,0.2331813
CHIKV,CHIKV_main,6k,0.45515,0.016,0.2405234
CHIKV,CHIKV_main,E1,0.2326,0.118,0.2405234
CHIKV,CHIKV_main,E2,0.31775,0.114,0.2405234
CHIKV,CHIKV_main,E3,0.2777,0.017,0.2405234
CHIKV,CHIKV_main,Peptidase_S3,0.23565,0.07,0.2405234
CHIKV,CHIKV_main,nsp1,0.2271,0.144,0.2405234
CHIKV,CHIKV_main,nsp2,0.1687,0.214,0.2405234
CHIKV,CHIKV_main,nsp3,0.29325,0.142,0.2405234
CHIKV,CHIKV_main,nsp4,0.23115,0.164,0.2405234
CHIKV,CHIKV_sub1,6k,0.5748,0.016,0.1717296
CHIKV,CHIKV_sub1,E1,0.1723,0.118,0.1717296
CHIKV,CHIKV_sub1,E2,0.1621,0.114,0.1717296
CHIKV,CHIKV_sub1,E3,0.2844,0.017,0.1717296
CHIKV,CHIKV_sub1,Peptidase_S3,0.1715,0.07,0.1717296
CHIKV,CHIKV_sub1,nsp1,0.1064,0.144,0.1717296
CHIKV,CHIKV_sub1,nsp2,0.1079,0.214,0.1717296
CHIKV,CHIKV_sub1,nsp3,0.2706,0.142,0.1717296
CHIKV,CHIKV_sub1,nsp4,0.1832,0.164,0.1717296
CHIKV,CHIKV_sub2,6k,0.6959,0.016,0.2296325
CHIKV,CHIKV_sub2,E1,0.2257,0.118,0.2296325
CHIKV,CHIKV_sub2,E2,0.2964,0.114,0.2296325
CHIKV,CHIKV_sub2,E3,0.3009,0.017,0.2296325
CHIKV,CHIKV_sub2,Peptidase_S3,0.2785,0.07,0.2296325
CHIKV,CHIKV_sub2,nsp1,0.255,0.144,0.2296325
CHIKV,CHIKV_sub2,nsp2,0.1824,0.214,0.2296325
CHIKV,CHIKV_sub2,nsp3,0.1938,0.142,0.2296325
CHIKV,CHIKV_sub2,nsp4,0.1841,0.164,0.2296325
CHIKV,CHIKV_sub3,6k,0.264,0.016,0.1503766
CHIKV,CHIKV_sub3,E1,0.1112,0.118,0.1503766
CHIKV,CHIKV_sub3,E2,0.1772,0.114,0.1503766
CHIKV,CHIKV_sub3,E3,0.214,0.017,0.1503766
CHIKV,CHIKV_sub3,Peptidase_S3,0.141,0.07,0.1503766
CHIKV,CHIKV_sub3,nsp1,0.1625,0.144,0.1503766
CHIKV,CHIKV_sub3,nsp2,0.0791,0.214,0.1503766
CHIKV,CHIKV_sub3,nsp3,0.2652,0.142,0.1503766
CHIKV,CHIKV_sub3,nsp4,0.1301,0.164,0.1503766
DENV,DENV_1,2K,0.4767,0.007,0.1220733
DENV,DENV_1,E,0.1993,0.146,0.1220733
DENV,DENV_1,NS1,0.2168,0.104,0.1220733
DENV,DENV_1,NS2A,0.3185,0.065,0.1220733
DENV,DENV_1,NS2B,0.2043,0.038,0.1220733
DENV,DENV_1,NS3,0.02,0.182,0.1220733
DENV,DENV_1,NS4A,0.1587,0.037,0.1220733
DENV,DENV_1,NS4B,0.1232,0.073,0.1220733
DENV,DENV_1,NS5_RdRp,0.0413,0.265,0.1220733
DENV,DENV_1,ancC,0.2237,0.033,0.1220733
DENV,DENV_1,prM,0.0366,0.049,0.1220733
DENV,DENV_10,2K,0.02,0.007,0.0929015
DENV,DENV_10,E,0.0399,0.146,0.0929015
DENV,DENV_10,NS1,0.1175,0.104,0.0929015
DENV,DENV_10,NS2A,0.177,0.065,0.0929015
DENV,DENV_10,NS2B,0.0312,0.038,0.0929015
DENV,DENV_10,NS3,0.0756,0.182,0.0929015
DENV,DENV_10,NS4A,0.0216,0.037,0.0929015
DENV,DENV_10,NS4B,0.0379,0.073,0.0929015
DENV,DENV_10,NS5_RdRp,0.1432,0.265,0.0929015
DENV,DENV_10,ancC,0.0202,0.033,0.0929015
DENV,DENV_10,prM,0.1242,0.049,0.0929015
DENV,DENV_11,2K,0.2114,0.007,0.1819813
DENV,DENV_11,E,0.1991,0.146,0.1819813
DENV,DENV_11,NS1,0.23355,0.104,0.1819813
DENV,DENV_11,NS2A,0.29525,0.065,0.1819813
DENV,DENV_11,NS2B,0.07725,0.038,0.1819813
DENV,DENV_11,NS3,0.0789,0.182,0.1819813
DENV,DENV_11,NS4A,0.2326,0.037,0.1819813
DENV,DENV_11,NS4B,0.17965,0.073,0.1819813
DENV,DENV_11,NS5_RdRp,0.2137,0.265,0.1819813
DENV,DENV_11,ancC,0.25865,0.033,0.1819813
DENV,DENV_11,prM,0.07695,0.049,0.1819813
DENV,DENV_12,2K,0.02,0.007,0.1199848
DENV,DENV_12,E,0.1707,0.146,0.1199848
DENV,DENV_12,NS1,0.1182,0.104,0.1199848
DENV,DENV_12,NS2A,0.2451,0.065,0.1199848
DENV,DENV_12,NS2B,0.0887,0.038,0.1199848
DENV,DENV_12,NS3,0.0275,0.182,0.1199848
DENV,DENV_12,NS4A,0.1264,0.037,0.1199848
DENV,DENV_12,NS4B,0.1531,0.073,0.1199848
DENV,DENV_12,NS5_RdRp,0.1269,0.265,0.1199848
DENV,DENV_12,ancC,0.1319,0.033,0.1199848
DENV,DENV_12,prM,0.0916,0.049,0.1199848
DENV,DENV_2,2K,0.20365,0.007,0.19660415
DENV,DENV_2,E,0.18355,0.146,0.19660415
DENV,DENV_2,NS1,0.22045,0.104,0.19660415
DENV,DENV_2,NS2A,0.24475,0.065,0.19660415
DENV,DENV_2,NS2B,0.18915,0.038,0.19660415
DENV,DENV_2,NS3,0.1226,0.182,0.19660415
DENV,DENV_2,NS4A,0.1736,0.037,0.19660415
DENV,DENV_2,NS4B,0.169,0.073,0.19660415
DENV,DENV_2,NS5_RdRp,0.2127,0.265,0.19660415
DENV,DENV_2,ancC,0.33325,0.033,0.19660415
DENV,DENV_2,prM,0.2841,0.049,0.19660415
DENV,DENV_3,2K,0.02,0.007,0.1311587
DENV,DENV_3,E,0.1279,0.146,0.1311587
DENV,DENV_3,NS1,0.1653,0.104,0.1311587
DENV,DENV_3,NS2A,0.1466,0.065,0.1311587
DENV,DENV_3,NS2B,0.0322,0.038,0.1311587
DENV,DENV_3,NS3,0.1706,0.182,0.1311587
DENV,DENV_3,NS4A,0.1113,0.037,0.1311587
DENV,DENV_3,NS4B,0.133,0.073,0.1311587
DENV,DENV_3,NS5_RdRp,0.1038,0.265,0.1311587
DENV,DENV_3,ancC,0.02,0.033,0.1311587
DENV,DENV_3,prM,0.2318,0.049,0.1311587
DENV,DENV_4,2K,0.17785,0.007,0.16391645
DENV,DENV_4,E,0.18015,0.146,0.16391645
DENV,DENV_4,NS1,0.14135,0.104,0.16391645
DENV,DENV_4,NS2A,0.26035,0.065,0.16391645
DENV,DENV_4,NS2B,0.18155,0.038,0.16391645
DENV,DENV_4,NS3,0.12065,0.182,0.16391645
DENV,DENV_4,NS4A,0.27505,0.037,0.16391645
DENV,DENV_4,NS4B,0.1932,0.073,0.16391645
DENV,DENV_4,NS5_RdRp,0.13895,0.265,0.16391645
DENV,DENV_4,ancC,0.24155,0.033,0.16391645
DENV,DENV_4,prM,0.1391,0.049,0.16391645
DENV,DENV_5,2K,0.2331,0.007,0.1972289
DENV,DENV_5,E,0.2101,0.146,0.1972289
DENV,DENV_5,NS1,0.17775,0.104,0.1972289
DENV,DENV_5,NS2A,0.3324,0.065,0.1972289
DENV,DENV_5,NS2B,0.1764,0.038,0.1972289
DENV,DENV_5,NS3,0.16555,0.182,0.1972289
DENV,DENV_5,NS4A,0.2671,0.037,0.1972289
DENV,DENV_5,NS4B,0.15745,0.073,0.1972289
DENV,DENV_5,NS5_RdRp,0.17425,0.265,0.1972289
DENV,DENV_5,ancC,0.304,0.033,0.1972289
DENV,DENV_5,prM,0.2125,0.049,0.1972289
DENV,DENV_6,2K,0.10105,0.007,0.1650181
DENV,DENV_6,E,0.14425,0.146,0.1650181
DENV,DENV_6,NS1,0.14975,0.104,0.1650181
DENV,DENV_6,NS2A,0.30005,0.065,0.1650181
DENV,DENV_6,NS2B,0.214,0.038,0.1650181
DENV,DENV_6,NS3,0.14235,0.182,0.1650181
DENV,DENV_6,NS4A,0.2494,0.037,0.1650181
DENV,DENV_6,NS4B,0.2019,0.073,0.1650181
DENV,DENV_6,NS5_RdRp,0.1246,0.265,0.1650181
DENV,DENV_6,ancC,0.27515,0.033,0.1650181
DENV,DENV_6,prM,0.16465,0.049,0.1650181
DENV,DENV_7,2K,0.2497,0.007,0.194222
DENV,DENV_7,E,0.1913,0.146,0.194222
DENV,DENV_7,NS1,0.1957,0.104,0.194222
DENV,DENV_7,NS2A,0.2651,0.065,0.194222
DENV,DENV_7,NS2B,0.19035,0.038,0.194222
DENV,DENV_7,NS3,0.1294,0.182,0.194222
DENV,DENV_7,NS4A,0.23365,0.037,0.194222
DENV,DENV_7,NS4B,0.17965,0.073,0.194222
DENV,DENV_7,NS5_RdRp,0.2175,0.265,0.194222
DENV,DENV_7,ancC,0.2391,0.033,0.194222
DENV,DENV_7,prM,0.1814,0.049,0.194222
DENV,DENV_8,2K,0.2378,0.007,0.1511348
DENV,DENV_8,E,0.1678,0.146,0.1511348
DENV,DENV_8,NS1,0.1304,0.104,0.1511348
DENV,DENV_8,NS2A,0.2282,0.065,0.1511348
DENV,DENV_8,NS2B,0.1125,0.038,0.1511348
DENV,DENV_8,NS3,0.1141,0.182,0.1511348
DENV,DENV_8,NS4A,0.2784,0.037,0.1511348
DENV,DENV_8,NS4B,0.1342,0.073,0.1511348
DENV,DENV_8,NS5_RdRp,0.1447,0.265,0.1511348
DENV,DENV_8,ancC,0.2202,0.033,0.1511348
DENV,DENV_8,prM,0.1189,0.049,0.1511348
DENV,DENV_9,2K,0.02,0.007,0.15940025
DENV,DENV_9,E,0.1207,0.146,0.15940025
DENV,DENV_9,NS1,0.2046,0.104,0.15940025
DENV,DENV_9,NS2A,0.31545,0.065,0.15940025
DENV,DENV_9,NS2B,0.2443,0.038,0.15940025
DENV,DENV_9,NS3,0.07925,0.182,0.15940025
DENV,DENV_9,NS4A,0.2243,0.037,0.15940025
DENV,DENV_9,NS4B,0.1775,0.073,0.15940025
DENV,DENV_9,NS5_RdRp,0.13845,0.265,0.15940025
DENV,DENV_9,ancC,0.21795,0.033,0.15940025
DENV,DENV_9,prM,0.2247,0.049,0.15940025
DENV,DENV_main,2K,0.0283,0.007,0.0484894
DENV,DENV_main,E,0.0392,0.146,0.0484894
DENV,DENV_main,NS1,0.0488,0.104,0.0484894
DENV,DENV_main,NS2A,0.08295,0.065,0.0484894
DENV,DENV_main,NS2B,0.0368,0.038,0.0484894
DENV,DENV_main,NS3,0.03305,0.182,0.0484894
DENV,DENV_main,NS4A,0.0386,0.037,0.0484894
DENV,DENV_main,NS4B,0.03675,0.073,0.0484894
DENV,DENV_main,NS5_RdRp,0.0444,0.265,0.0484894
DENV,DENV_main,ancC,0.1828,0.033,0.0484894
DENV,DENV_main,prM,0.0567,0.049,0.0484894
DENV,DENV_sub1,2K,0.2252,0.007,0.1721623
DENV,DENV_sub1,E,0.18265,0.146,0.1721623
DENV,DENV_sub1,NS1,0.15995,0.104,0.1721623
DENV,DENV_sub1,NS2A,0.2878,0.065,0.1721623
DENV,DENV_sub1,NS2B,0.14175,0.038,0.1721623
DENV,DENV_sub1,NS3,0.12515,0.182,0.1721623
DENV,DENV_sub1,NS4A,0.24385,0.037,0.1721623
DENV,DENV_sub1,NS4B,0.10975,0.073,0.1721623
DENV,DENV_sub1,NS5_RdRp,0.17505,0.265,0.1721623
DENV,DENV_sub1,ancC,0.28725,0.033,0.1721623
DENV,DENV_sub1,prM,0.1533,0.049,0.1721623
DENV,DENV_sub2,2K,0.19575,0.007,0.18394735
DENV,DENV_sub2,E,0.1508,0.146,0.18394735
DENV,DENV_sub2,NS1,0.17705,0.104,0.18394735
DENV,DENV_sub2,NS2A,0.2348,0.065,0.18394735
DENV,DENV_sub2,NS2B,0.15515,0.038,0.18394735
DENV,DENV_sub2,NS3,0.1256,0.182,0.18394735
DENV,DENV_sub2,NS4A,0.2225,0.037,0.18394735
DENV,DENV_sub2,NS4B,0.1669,0.073,0.18394735
DENV,DENV_sub2,NS5_RdRp,0.20905,0.265,0.18394735
DENV,DENV_sub2,ancC,0.2803,0.033,0.18394735
DENV,DENV_sub2,prM,0.26665,0.049,0.18394735
DENV,DENV_sub3,2K,0.2055,0.007,0.19383455
DENV,DENV_sub3,E,0.18185,0.146,0.19383455
DENV,DENV_sub3,NS1,0.18785,0.104,0.19383455
DENV,DENV_sub3,NS2A,0.29405,0.065,0.19383455
DENV,DENV_sub3,NS2B,0.17225,0.038,0.19383455
DENV,DENV_sub3,NS3,0.1532,0.182,0.19383455
DENV,DENV_sub3,NS4A,0.22445,0.037,0.19383455
DENV,DENV_sub3,NS4B,0.1704,0.073,0.19383455
DENV,DENV_sub3,NS5_RdRp,0.21055,0.265,0.19383455
DENV,DENV_sub3,ancC,0.2254,0.033,0.19383455
DENV,DENV_sub3,prM,0.1794,0.049,0.19383455
DENV,DENV_sub4,2K,0.2488,0.007,0.1779689
DENV,DENV_sub4,E,0.1953,0.146,0.1779689
DENV,DENV_sub4,NS1,0.2032,0.104,0.1779689
DENV,DENV_sub4,NS2A,0.2788,0.065,0.1779689
DENV,DENV_sub4,NS2B,0.0873,0.038,0.1779689
DENV,DENV_sub4,NS3,0.1118,0.182,0.1779689
DENV,DENV_sub4,NS4A,0.1681,0.037,0.1779689
DENV,DENV_sub4,NS4B,0.1551,0.073,0.1779689
DENV,DENV_sub4,NS5_RdRp,0.1921,0.265,0.1779689
DENV,DENV_sub4,ancC,0.3002,0.033,0.1779689
DENV,DENV_sub4,prM,0.1314,0.049,0.1779689
EVA,EVA_1,3B,0.0596,0.01,0.0600021
EVA,EVA_1,3D,0.10715,0.209,0.0600021
EVA,EVA_1,VP1_1D,0.02,0.134,0.0600021
EVA,EVA_1,VP2_1B,0.0201,0.115,0.0600021
EVA,EVA_1,VP3_1C,0.02,0.11,0.0600021
EVA,EVA_1,VP4_1A,0.02,0.031,0.0600021
EVA,EVA_1,protease_2A,0.0743,0.074,0.0600021
EVA,EVA_1,protease_3C,0.0377,0.083,0.0600021
EVA,EVA_1,protein_2B,0.2072,0.045,0.0600021
EVA,EVA_1,protein_2C,0.0246,0.149,0.0600021
EVA,EVA_1,protein_3A,0.19445,0.039,0.0600021
EVA,EVA_10,3B,0.3953,0.01,0.1323235
EVA,EVA_10,3D,0.0274,0.209,0.1323235
EVA,EVA_10,VP1_1D,0.1872,0.134,0.1323235
EVA,EVA_10,VP2_1B,0.1951,0.115,0.1323235
EVA,EVA_10,VP3_1C,0.02,0.11,0.1323235
EVA,EVA_10,VP4_1A,0.0248,0.031,0.1323235
EVA,EVA_10,protease_2A,0.304,0.074,0.1323235
EVA,EVA_10,protease_3C,0.0213,0.083,0.1323235
EVA,EVA_10,protein_2B,0.2007,0.045,0.1323235
EVA,EVA_10,protein_2C,0.1857,0.149,0.1323235
EVA,EVA_10,protein_3A,0.2869,0.039,0.1323235
EVA,EVA_11,3B,0.3255,0.01,0.0634321
EVA,EVA_11,3D,0.0566,0.209,0.0634321
EVA,EVA_11,VP1_1D,0.046,0.134,0.0634321
EVA,EVA_11,VP2_1B,0.0211,0.115,0.0634321
EVA,EVA_11,VP3_1C,0.1614,0.11,0.0634321
EVA,EVA_11,VP4_1A,0.02,0.031,0.0634321
EVA,EVA_11,protease_2A,0.0447,0.074,0.0634321
EVA,EVA_11,protease_3C,0.0384,0.083,0.0634321
EVA,EVA_11,protein_2B,0.0412,0.045,0.0634321
EVA,EVA_11,protein_2C,0.02,0.149,0.0634321
EVA,EVA_11,protein_3A,0.2578,0.039,0.0634321
EVA,EVA_12,3B,0.1595,0.01,0.0621757
EVA,EVA_12,3D,0.0255,0.209,0.0621757
EVA,EVA_12,VP1_1D,0.0461,0.134,0.0621757
EVA,EVA_12,VP2_1B,0.0254,0.115,0.0621757
EVA,EVA_12,VP3_1C,0.0328,0.11,0.0621757
EVA,EVA_12,VP4_1A,0.2139,0.031,0.0621757
EVA,EVA_12,protease_2A,0.0984,0.074,0.0621757
EVA,EVA_12,protein_2B,0.2303,0.045,0.0621757
EVA,EVA_12,protein_3A,0.0982,0.039,0.0621757
EVA,EVA_13,3B,0.4879,0.01,0.1079969
EVA,EVA_13,3D,0.099,0.209,0.1079969
EVA,EVA_13,VP1_1D,0.21,0.134,0.1079969
EVA,EVA_13,VP2_1B,0.028,0.115,0.1079969
EVA,EVA_13,VP3_1C,0.02,0.11,0.1079969
EVA,EVA_13,VP4_1A,0.2213,0.031,0.1079969
EVA,EVA_13,protease_2A,0.0229,0.074,0.1079969
EVA,EVA_13,protease_3C,0.2147,0.083,0.1079969
EVA,EVA_13,protein_2B,0.2384,0.045,0.1079969
EVA,EVA_13,protein_2C,0.0204,0.149,0.1079969
EVA,EVA_13,protein_3A,0.2237,0.039,0.1079969
EVA,EVA_14,3B,0.3298,0.01,0.1724132
EVA,EVA_14,3D,0.1955,0.209,0.1724132
EVA,EVA_14,VP1_1D,0.2114,0.134,0.1724132
EVA,EVA_14,VP2_1B,0.1713,0.115,0.1724132
EVA,EVA_14,VP3_1C,0.0361,0.11,0.1724132
EVA,EVA_14,VP4_1A,0.02,0.031,0.1724132
EVA,EVA_14,protease_2A,0.203,0.074,0.1724132
EVA,EVA_14,protease_3C,0.2388,0.083,0.1724132
EVA,EVA_14,protein_2B,0.1732,0.045,0.1724132
EVA,EVA_14,protein_2C,0.126,0.149,0.1724132
EVA,EVA_14,protein_3A,0.3648,0.039,0.1724132
EVA,EVA_15,3B,0.22715,0.01,0.0634419
EVA,EVA_15,3D,0.0397,0.209,0.0634419
EVA,EVA_15,VP1_1D,0.1499,0.134,0.0634419
EVA,EVA_15,VP2_1B,0.02,0.115,0.0634419
EVA,EVA_15,VP3_1C,0.02355,0.11,0.0634419
EVA,EVA_15,VP4_1A,0.13205,0.031,0.0634419
EVA,EVA_15,protease_2A,0.08535,0.074,0.0634419
EVA,EVA_15,protease_3C,0.0294,0.083,0.0634419
EVA,EVA_15,protein_2B,0.1093,0.045,0.0634419
EVA,EVA_15,protein_2C,0.0204,0.149,0.0634419
EVA,EVA_15,protein_3A,0.18175,0.039,0.0634419
EVA,EVA_16,3B,0.02,0.01,0.0419765
EVA,EVA_16,3D,0.02,0.209,0.0419765
EVA,EVA_16,VP1_1D,0.0296,0.134,0.0419765
EVA,EVA_16,VP2_1B,0.02,0.115,0.0419765
EVA,EVA_16,VP3_1C,0.0336,0.11,0.0419765
EVA,EVA_16,VP4_1A,0.036,0.031,0.0419765
EVA,EVA_16,protease_2A,0.02,0.074,0.0419765
EVA,EVA_16,protease_3C,0.1491,0.083,0.0419765
EVA,EVA_16,protein_2B,0.02,0.045,0.0419765
EVA,EVA_16,protein_2C,0.02,0.149,0.0419765
EVA,EVA_16,protein_3A,0.2252,0.039,0.0419765
EVA,EVA_17,3B,0.02,0.01,0.0886513
EVA,EVA_17,3D,0.1838,0.209,0.0886513
EVA,EVA_17,VP1_1D,0.02,0.134,0.0886513
EVA,EVA_17,VP2_1B,0.0306,0.115,0.0886513
