subalignment	id
EVAd10	MH780728.1
EVAd10	MH780724.1
EVAd10	KP289442.1
EVAd10	MH111024.1
EVAd10	MH111020.1
EVAd10	MH111028.1
EVAd10	MG550920.1
EVAd10	MN964076.1
EVAd10	MT814405.1
EVAd10	MT814607.1
EVAd10	MT814536.1
EVAd10	MT814601.1
EVAd10	MF422552.1
EVAd10	MT814535.1
EVAd10	LC126146.1
EVAd10	KT779410.1
EVAd10	MK106196.1
EVAd10	MT814557.1
EVAd10	MT814579.1
EVAd10	MN845857.1
EVAd10	KT779411.1
EVAd10	MN845862.1
EVAd10	MT814616.1
EVAd10	MT814422.1
EVAd10	MH111054.1
EVAd10	MK658833.1
EVAd10	MF678322.1
EVAd10	AB779617.1
EVAd10	MK697689.1
EVAd10	MG976581.1
EVAd10	AF119795.2
EVAd10	LC375764.1
EVAd10	KC954664.1
EVAd10	LC506514.1
EVAd10	KJ686230.1
EVAd10	JQ280307.1
EVAd10	KY315729.1
EVAd10	MG431943.1
EVAd10	MG520666.1
EVAd10	MG773125.1
EVAd10	HQ647174.1
EVAd10	JQ742001.1
EVAd10	AF302996.1
EVAd10	KC436265.1
EVAd10	HM807310.1
EVAd10	GQ994989.1
EVAd10	HQ423143.1
EVAd10	FJ607337.1
EVAd10	KP289419.1
EVAd10	KP308450.1
EVAd10	JF799986.1
EVAd10	KX372309.1
EVAd10	AB575912.1
EVAd10	KF982854.1
EVAd10	DQ341356.1
EVAd10	AB575936.1
EVAd10	JF738000.1
EVAd10	KX810065.1
EVAd10	MG253036.1
EVAd10	AY773285.1
EVAd10	AY697460.1
EVAd10	AB192877.1
EVAd10	MH118031.1
EVAd10	AY697459.1
EVAd10	KT277550.1
EVAd10	MH118029.1
EVAd10	JF905564.1
EVAd10	AY697458.1
EVAd10	MH118028.1
EVAd10	LR027539.1
EVAd10	LT719068.1
EVAd10	MG672478.1
EVAd10	LT719063.1
EVAd10	LT719064.1
EVAd10	LT719065.1
EVAd10	U22521.1
EVAd10	MG013988.1
EVAd10	LR798440.1
EVAd10	DQ341359.1
EVAd10	LT719067.1
EVAd10	MK652139.1
EVAd10	LR027544.1
EVAd10	KX372322.1
EVAd10	MH716380.1
EVAd10	MG672479.1
EVAd10	MH716388.1
EVAd10	KP289413.1
EVAd10	MH111072.1
EVAd10	JX068829.1
EVAd10	KX372337.1
EVAd10	LT617096.1
EVAd10	LT617110.1
EVAd10	MK989714.1
EVAd10	MF990300.1
EVAd10	JQ746659.1
EVAd10	LT719062.1
EVAd10	JQ041367.1
EVAd10	LT719054.1
EVAd10	LT719051.1
EVAd10	LT719055.1
EVAd10	LT719061.1
EVAd10	KP036482.1
EVAd10	KP289364.1
EVAd10	MT081376.1
EVAd10	LT719045.1
EVAd10	KU761262.1
EVAd10	MH111030.1
EVAd10	MN663160.1
EVAd10	MK061425.1
EVAd10	MH716340.1
EVAd10	NC_030454.1
EVAd10	MH010198.1
EVAd10	MH111069.1
EVAd10	LT719053.1
EVAd10	MH010204.1
EVAd10	KP308430.1
EVAd10	KM508794.1
EVAd10	LT617097.1
EVAd10	KP274877.1
EVAd10	AB575927.1
EVAd10	FJ357380.1
EVAd10	AB575913.1
EVAd10	DQ341354.1
EVAd10	LT617106.1
EVAd10	MG957117.1
EVAd10	KY674980.1
EVAd10	MG571837.1
EVAd10	LT617091.1
EVAd10	LT617109.1
EVAd10	MH780757.1
EVAd10	JQ746677.1
EVAd10	MH111068.1
EVAd10	KF193630.1
EVAd10	MH010201.1
EVAd10	KU163608.1
EVAd10	KC342228.1
EVAd10	KY425540.1
EVAd10	KF193629.1
EVAd10	LT617095.1
EVAd10	KC695830.1
EVAd10	LT617103.1
EVAd100	KP289376.1
EVAd100	KP289378.1
EVAd100	KP289380.1
EVAd100	MK106198.1
EVAd100	MF285651.1
EVAd100	MF578357.1
EVAd100	MT814421.1
EVAd100	MF578331.1
EVAd100	MH111040.1
EVAd100	MT814472.1
EVAd100	MF578352.1
EVAd100	KP289370.1
EVAd100	MF578347.1
EVAd100	MF578289.1
EVAd100	MF578362.1
EVAd100	MF285657.1
EVAd100	MK106201.1
EVAd100	MF285634.1
EVAd100	KP289369.1
EVAd100	MN845800.1
EVAd100	MF578320.1
EVAd100	MN845773.1
EVAd100	MF285641.1
EVAd100	KX064295.1
EVAd100	MF285671.1
EVAd100	MF285664.1
EVAd100	MN845837.1
EVAd100	MN845782.1
EVAd100	MN845786.1
EVAd100	MN845888.1
EVAd100	MN845891.1
EVAd100	MT814414.1
EVAd100	MH086156.1
EVAd100	MF285633.1
EVAd100	MN845801.1
EVAd100	JQ946053.1
EVAd100	LC126162.1
EVAd100	KP144350.1
EVAd100	KP289390.1
EVAd100	KF682363.1
EVAd100	LC126159.1
EVAd100	LC421569.1
EVAd100	MH111035.1
EVAd100	MT814417.1
EVAd100	MT814404.1
EVAd100	KX595286.1
EVAd100	MT814484.1
EVAd100	MF285673.1
EVAd100	MT814455.1
EVAd100	MT814459.1
EVAd100	MH111033.1
EVAd100	MF285643.1
EVAd100	LC421581.1
EVAd100	KP289388.1
EVAd100	LC126156.1
EVAd100	MT814464.1
EVAd100	KP144346.1
EVAd100	KJ541169.1
EVAd100	MH539787.1
EVAd100	MH539784.1
EVAd100	MH539785.1
EVAd100	LC421561.1
EVAd100	LC421563.1
EVAd100	MT814517.1
EVAd100	JQ946054.1
EVAd100	MT814471.1
EVAd100	MT814481.1
EVAd100	AB779616.1
EVAd100	AB779615.1
EVAd100	KX212499.1
EVAd100	KX212496.1
EVAd100	KX212497.1
EVAd100	MT814503.1
EVAd100	MT814483.1
EVAd100	MH086180.1
EVAd100	MN845813.1
EVAd100	MH086179.1
EVAd100	MN845854.1
EVAd100	MN845875.1
EVAd100	MN845780.1
EVAd100	MN845770.1
EVAd100	MN845795.1
EVAd100	MN845806.1
EVAd100	MN845886.1
EVAd100	MN845871.1
EVAd100	MT814411.1
EVAd100	MF285670.1
EVAd100	MF285676.1
EVAd100	MF285669.1
EVAd100	MN845870.1
EVAd100	MN845836.1
EVAd100	MF285682.1
EVAd100	MN845781.1
EVAd100	KX064291.1
EVAd100	MN845867.1
EVAd100	MN845845.1
EVAd100	LC421577.1
EVAd100	MN845863.1
EVAd100	MH536772.2
EVAd100	MN845877.1
EVAd100	MN845873.1
EVAd100	MN845850.1
EVAd100	MN845809.1
EVAd100	MN845815.1
EVAd100	MN845861.1
EVAd100	MN845880.1
EVAd100	MN845808.1
EVAd100	MN845859.1
EVAd100	MN845847.1
EVAd100	MN845869.1
EVAd100	MN845868.1
EVAd100	MN845825.1
EVAd100	MN845783.1
EVAd100	MH086203.1
EVAd100	MT814529.1
EVAd100	MN845767.1
EVAd100	MF285635.1
EVAd100	KX064307.1
EVAd100	KX064308.1
EVAd100	KX212494.1
EVAd100	MT814431.1
EVAd100	MT814432.1
EVAd100	MT814520.1
EVAd100	MT814495.1
EVAd100	MH111045.1
EVAd100	MT814420.1
EVAd100	MF285627.1
EVAd100	KX064293.1
EVAd100	KX064289.1
EVAd100	KX064294.1
EVAd100	MF285638.1
EVAd100	KX064292.1
EVAd100	MH086162.1
EVAd100	MH086159.1
EVAd100	MT814423.1
EVAd100	MH111042.1
EVAd100	KY126091.1
EVAd100	KY126089.1
EVAd100	KP289377.1
EVAd100	KP289381.1
EVAd100	MH086151.1
EVAd100	MH086182.1
EVAd100	MK106199.1
EVAd100	MF285650.1
EVAd100	MT350227.1
EVAd100	MH086165.1
EVAd100	MH086163.1
EVAd100	MF285665.1
EVAd100	MF285661.1
EVAd100	MN845784.1
EVAd100	MT814468.1
EVAd100	KX212502.1
EVAd100	MT814562.1
EVAd100	KX212506.1
EVAd100	MT814602.1
EVAd100	MT814595.1
EVAd100	MT814563.1
EVAd100	MT814565.1
EVAd100	MT814605.1
EVAd100	MT814560.1
EVAd100	MT814586.1
EVAd100	MK652140.1
EVAd100	MT814578.1
EVAd100	MT814572.1
EVAd100	MT814583.1
EVAd100	MT814567.1
EVAd100	MT814568.1
EVAd100	MT814601.1
EVAd100	MN845814.1
EVAd100	MT814592.1
EVAd100	MT814564.1
EVAd100	MT814585.1
EVAd100	KX212520.1
EVAd100	LT719047.1
EVAd100	LT719048.1
EVAd100	MF578379.1
EVAd100	KX212527.1
EVAd100	KP144349.1
EVAd100	MT814406.1
EVAd100	MT814408.1
EVAd100	MT814613.1
EVAd100	KX212526.1
EVAd100	MT814547.1
EVAd100	MT814549.1
EVAd100	MT814548.1
EVAd100	MT814552.1
EVAd100	MT814554.1
EVAd100	MT814558.1
EVAd100	MT814596.1
EVAd100	MT814573.1
EVAd100	MT814576.1
EVAd100	MT814598.1
EVAd100	KX212517.1
EVAd100	KX372340.1
EVAd100	MH086031.1
EVAd100	MH086030.1
EVAd100	KP289442.1
EVAd100	MH086049.1
EVAd100	MH086048.1
EVAd100	MN964081.1
EVAd100	MN964079.1
EVAd100	MN964078.1
EVAd100	MH780730.1
EVAd100	MH780729.1
EVAd100	MH780724.1
EVAd100	MF422546.1
EVAd100	MF422544.1
EVAd100	KX212515.1
EVAd100	KX212519.1
EVAd100	MT814538.1
EVAd100	MT814536.1
EVAd100	MT814587.1
EVAd100	MH111055.1
EVAd100	MH780756.1
EVAd100	MH111048.1
EVAd100	MH111046.1
EVAd100	MT814612.1
EVAd100	MT814610.1
EVAd100	MT350228.1
EVAd100	MT814609.1
EVAd100	MT814405.1
EVAd100	MT814607.1
EVAd100	MT814541.1
EVAd100	MT814544.1
EVAd100	KX212513.1
EVAd100	KX212511.1
EVAd100	MT814543.1
EVAd100	MH111038.1
EVAd100	MF578358.1
EVAd100	MF578341.1
EVAd100	MF578380.1
EVAd100	MT814526.1
EVAd100	MT814450.1
EVAd100	MT814443.1
EVAd100	MT814475.1
EVAd100	MT814477.1
EVAd100	MT814444.1
EVAd100	MT814525.1
EVAd100	MT814514.1
EVAd100	MT814467.1
EVAd100	KP144343.1
EVAd100	MT814506.1
EVAd100	MT814513.1
EVAd100	MT814452.1
EVAd100	MT814449.1
EVAd100	MT814476.1
EVAd100	MT814523.1
EVAd100	MT814507.1
EVAd100	MT814505.1
EVAd100	KX212507.1
EVAd100	LC421575.1
EVAd100	MT814485.1
EVAd100	MF285675.1
EVAd100	MT814582.1
EVAd100	MT814460.1
EVAd100	MT814409.1
EVAd100	MH111044.1
EVAd100	MT814581.1
EVAd100	MK510082.1
EVAd100	MT814410.1
EVAd100	MT814424.1
EVAd100	MN845852.1
EVAd100	MT814456.1
EVAd100	MT814490.1
EVAd100	MH371303.1
EVAd100	MT814489.1
EVAd100	MH111051.1
EVAd100	KX212503.1
EVAd100	MT814504.1
EVAd100	KX189180.1
EVAd100	MF578306.1
EVAd100	MF578365.1
EVAd100	MF578297.1
EVAd100	MF578292.1
EVAd100	MF578371.1
EVAd100	MF578324.1
EVAd100	MF578370.1
EVAd100	MF578303.1
EVAd100	MF578312.1
EVAd100	MF578321.1
EVAd100	MH111054.1
EVAd100	MN845774.1
EVAd100	MF578363.1
EVAd100	MF578287.1
EVAd100	MF578291.1
EVAd100	MF578356.1
EVAd100	MF578349.1
EVAd100	MF578336.1
EVAd100	KP144339.1
EVAd100	MF373605.1
EVAd100	KX189190.1
EVAd100	KJ541168.1
EVAd100	MH049745.1
EVAd100	KX189181.1
EVAd100	KX189184.1
EVAd100	KR815992.1
EVAd100	MT814425.1
EVAd100	KJ541159.1
EVAd100	MK106197.1
EVAd100	KX189178.1
EVAd100	MN845764.1
EVAd100	KX189183.1
EVAd100	KX189186.1
EVAd100	MN845761.1
EVAd100	MF578323.1
EVAd100	KX189191.1
EVAd100	MN845851.1
EVAd100	MT814535.1
EVAd100	MN845864.1
EVAd100	LC483987.1
EVAd100	KX430803.1
EVAd100	LC483986.1
EVAd100	KX430809.1
EVAd100	HQ728262.1
EVAd100	KP009580.1
EVAd100	KP289404.1
EVAd100	KP289394.1
EVAd100	KY272007.1
EVAd100	KP289396.1
EVAd100	KP289409.1
EVAd100	KX768157.1
EVAd100	KX768166.1
EVAd100	MK301476.1
EVAd100	MK965229.1
EVAd100	LT617116.1
EVAd100	KU578133.1
EVAd100	LT719058.1
EVAd100	MF678312.1
EVAd100	MH118089.1
EVAd100	MH118061.1
EVAd100	MH144591.1
EVAd100	MH118066.1
EVAd100	MH118071.1
EVAd100	MH118048.1
EVAd100	MH118044.1
EVAd100	MH144603.1
EVAd100	MH118058.1
EVAd100	MH118065.1
EVAd100	MH118041.1
EVAd100	MH118027.1
EVAd100	LT617117.1
EVAd100	LT617118.1
EVAd100	MF422532.1
EVAd100	LT719059.1
EVAd100	KX768156.1
EVAd100	KX768158.1
EVAd100	MF688814.1
EVAd100	KJ641623.1
EVAd100	KP289402.1
EVAd100	KT588920.1
EVAd100	KP009576.1
EVAd100	KX595287.1
EVAd100	KP289399.1
EVAd100	KU578130.1
EVAd100	KP289401.1
EVAd100	KX595290.1
EVAd100	KP289405.1
EVAd100	KY012321.1
EVAd100	KP009581.1
EVAd100	MK645898.1
EVAd100	KX595289.1
EVAd100	KP289410.1
EVAd100	KY272010.1
EVAd100	KU578132.1
EVAd100	KX768159.1
EVAd100	KX768167.1
EVAd100	MK965239.1
EVAd100	KY271944.1
EVAd100	MT350221.1
EVAd100	MK965241.1
EVAd100	MK814855.1
EVAd100	MK965226.1
EVAd100	MH111064.1
EVAd100	MH118076.1
EVAd100	MH111058.1
EVAd100	KY272008.1
EVAd100	MH111061.1
EVAd100	KX768168.1
EVAd100	KY272009.1
EVAd100	KX768163.1
EVAd100	KX768162.1
EVAd100	KX768161.1
EVAd100	MT347977.1
EVAd100	MH118059.1
EVAd100	MH118057.1
EVAd100	MH118083.1
EVAd100	MG571858.1
EVAd100	MF422535.1
EVAd100	MH111018.1
EVAd100	MH111019.1
EVAd100	MH111017.1
EVAd100	LR027549.1
EVAd100	MF678334.1
EVAd100	MF678333.1
EVAd100	MF678322.1
EVAd100	KX810065.1
EVAd100	MK697689.1
EVAd100	NC_030454.1
EVAd100	MH144592.1
EVAd100	MH118055.1
EVAd100	MH118072.1
EVAd100	MF678338.1
EVAd100	NC_038306.1
EVAd100	KX595282.1
EVAd100	MN419014.1
EVAd100	KT961654.1
EVAd100	KT961653.1
EVAd100	EF667343.1
EVAd100	KT961658.1
EVAd100	KT961655.1
EVAd100	KX156350.1
EVAd100	MF281257.1
EVAd100	MH118069.1
EVAd100	KP289359.1
EVAd100	KX595284.1
EVAd100	KX156360.1
EVAd100	MG214257.1
EVAd100	KX595283.1
EVAd100	KP289360.1
EVAd100	KP289357.1
EVAd100	KP289358.1
EVAd100	MT350223.1
EVAd100	MH111056.1
EVAd100	MH118053.1
EVAd100	MH118088.1
EVAd100	MH118040.1
EVAd100	MH118045.1
EVAd100	MH118064.1
EVAd100	MH118073.1
EVAd100	MH118068.1
EVAd100	MH118047.1
EVAd100	MH118078.1
EVAd100	MH118082.1
EVAd100	MH118086.1
EVAd100	MH118067.1
EVAd100	MH118043.1
EVAd100	MH144599.1
EVAd100	MH118049.1
EVAd100	LT719056.1
EVAd100	MH118056.1
EVAd100	MH118038.1
EVAd100	MH118037.1
EVAd100	MH118034.1
EVAd100	MH118033.1
EVAd100	MH118080.1
EVAd100	MH118060.1
EVAd100	MH118081.1
EVAd100	MH118077.1
EVAd100	MH118070.1
EVAd100	MH118087.1
EVAd100	MH118090.1
EVAd100	MH118084.1
EVAd100	MH118050.1
EVAd100	MH118052.1
EVAd100	MH118063.1
EVAd100	MH118023.1
EVAd100	MH118039.1
EVAd100	MH144590.1
EVAd100	MH118042.1
EVAd100	MH118036.1
EVAd100	MH118075.1
EVAd100	MN845844.1
EVAd100	MT648785.1
EVAd100	MT648784.1
EVAd100	MN845779.1
EVAd100	MN845832.1
EVAd100	MN845824.1
EVAd100	MN845884.1
EVAd100	MN845862.1
EVAd100	MF285680.1
EVAd100	MN845883.1
EVAd100	MH086215.1
EVAd100	MH086209.1
EVAd100	MF285681.1
EVAd100	MH086210.1
EVAd100	MF285652.1
EVAd100	MH086208.1
EVAd100	MN845802.1
EVAd100	MN845798.1
EVAd100	MN845881.1
EVAd100	MK106213.1
EVAd100	MK106207.1
EVAd100	MH086212.1
EVAd100	MF285642.1
EVAd100	KX064286.1
EVAd100	KX064303.1
EVAd100	MF285654.1
EVAd100	MK106202.1
EVAd100	MK106215.1
EVAd100	MH086139.1
EVAd100	MF285677.1
EVAd100	MF285666.1
EVAd100	MH086140.1
EVAd100	MK106203.1
EVAd100	KJ541161.1
EVAd100	MN845777.1
EVAd100	MH086136.1
EVAd100	MH086213.1
EVAd100	MH716144.1
EVAd100	MN845819.1
EVAd100	MF285672.1
EVAd100	MH049748.1
EVAd100	MN845841.1
EVAd100	LC530049.1
EVAd100	MN845840.1
EVAd100	MN845793.1
EVAd100	MK791146.1
EVAd100	MN845887.1
EVAd100	MN845853.1
EVAd100	MN845889.1
EVAd100	MN845856.1
EVAd100	MN845831.1
EVAd100	MN845890.1
EVAd100	MN845807.1
EVAd100	MT814413.1
EVAd100	MN845810.1
EVAd100	MT814422.1
EVAd100	MN845833.1
EVAd100	MH111053.1
EVAd100	MT814419.1
EVAd100	MK106200.1
EVAd100	MH086205.1
EVAd100	MH086204.1
EVAd100	MN845788.1
EVAd100	MN845796.1
EVAd100	MN845799.1
EVAd100	MT350226.1
EVAd100	MN845804.1
EVAd100	MK106193.1
EVAd100	KX064296.1
EVAd100	MF285644.1
EVAd100	MT814442.1
EVAd100	MT814441.1
EVAd100	MN845787.1
EVAd100	MN845830.1
EVAd100	KX595285.1
EVAd100	MH049744.1
EVAd100	MT814616.1
EVAd100	KX064302.1
EVAd100	MF285668.1
EVAd100	MH086147.1
EVAd100	MK106209.1
EVAd100	MK106211.1
EVAd100	MF285625.1
EVAd100	MF285623.1
EVAd100	MN845765.1
EVAd100	MF285624.1
EVAd100	MK106196.1
EVAd100	JQ964234.1
EVAd100	MN845763.1
EVAd100	KM279379.1
EVAd100	KT779410.1
EVAd100	MK106210.1
EVAd100	MF285622.1
EVAd100	MK106208.1
EVAd100	MK106189.1
EVAd100	MF285621.1
EVAd100	AB779617.1
EVAd100	LC421553.1
EVAd100	MT814580.1
EVAd100	MT648782.1
EVAd100	MT648778.1
EVAd100	MT648781.1
EVAd100	MT648787.1
EVAd100	MT648788.1
EVAd100	MT648783.1
EVAd100	KM609475.1
EVAd100	MN845762.1
EVAd100	KM609481.1
EVAd100	MT648779.1
EVAd100	KM609477.1
EVAd100	KM609478.1
EVAd100	KM609476.1
EVAd100	LR027552.1
EVAd100	MT814557.1
EVAd100	MT814579.1
EVAd100	KP289435.1
EVAd100	KP765687.1
EVAd100	LC421548.1
EVAd100	MT814532.1
EVAd100	KP289368.1
EVAd100	KT779412.1
EVAd100	KX064299.1
EVAd100	MF285649.1
EVAd100	MK106191.1
EVAd100	KX189188.1
EVAd100	KX064282.1
EVAd100	KX064283.1
EVAd100	KX064285.1
EVAd100	MN845857.1
EVAd100	KP289386.1
EVAd100	KX064288.1
EVAd100	KX064306.1
EVAd100	KX064304.1
EVAd100	MH086143.1
EVAd100	KP289392.1
EVAd100	MH049746.1
EVAd100	KT779411.1
EVAd100	MT814614.1
EVAd100	MF422545.1
EVAd100	MT814531.1
EVAd100	LC421554.1
EVAd100	LC421551.1
EVAd100	MF838736.1
EVAd100	LC126145.1
EVAd100	LC126144.1
EVAd100	LC421550.1
EVAd100	AB779614.1
EVAd100	LC421549.1
EVAd100	KR706309.1
EVAd100	MF422552.1
EVAd100	JQ946050.1
EVAd100	KP289393.1
EVAd100	MN337601.1
EVAd100	MT814615.1
EVAd100	LC126146.1
EVAd100	KP676984.1
EVAd100	MT814428.1
EVAd100	MK658833.1
EVAd100	KJ686246.1
EVAd100	HQ456306.1
EVAd100	HQ891925.1
EVAd100	KC436272.1
EVAd100	HQ891926.1
EVAd100	HQ456308.1
EVAd100	KM055005.1
EVAd100	JN864020.1
EVAd100	HQ426649.1
EVAd100	JQ074187.1
EVAd100	MF662677.1
EVAd100	JF913464.1
EVAd100	KJ686208.1
EVAd100	KJ004559.1
EVAd100	KU936132.1
EVAd100	KJ686266.1
EVAd100	MG756724.1
EVAd100	KP308426.1
EVAd100	MH716252.1
EVAd100	KP308427.1
EVAd100	KJ686265.1
EVAd100	KJ686199.1
EVAd100	KJ686235.1
EVAd100	KJ686138.1
EVAd100	KJ686135.1
EVAd100	KJ686226.1
EVAd100	KP308409.1
EVAd100	KJ686195.1
EVAd100	KP308433.1
EVAd100	KJ686213.1
EVAd100	KP308438.1
EVAd100	KP308403.1
EVAd100	KP308451.1
EVAd100	KP308460.1
EVAd100	MH716254.1
EVAd100	KJ004557.1
EVAd100	JQ804832.1
EVAd100	HQ456307.1
EVAd100	KU936127.1
EVAd100	KJ632498.1
EVAd100	KC570453.1
EVAd100	KY582572.1
EVAd100	JQ806378.1
EVAd100	KJ632497.1
EVAd100	KU936123.1
EVAd100	KC570452.1
EVAd100	MG773122.1
EVAd100	MF662695.1
EVAd100	KJ004554.1
EVAd100	JX244187.1
EVAd100	JQ086365.1
EVAd100	MF662678.1
EVAd100	HM245927.1
EVAd100	MF362981.1
EVAd100	KU936128.1
EVAd100	MG520666.1
EVAd100	KJ508182.1
EVAd100	MF662701.1
EVAd100	MF662696.1
EVAd100	KF142413.1
EVAd100	JX111893.1
EVAd100	KM402021.1
EVAd100	KU936126.1
EVAd100	KY612315.1
EVAd100	KJ686147.1
EVAd100	MF662691.1
EVAd100	MF662690.1
EVAd100	MH511183.1
EVAd100	JN864023.1
EVAd100	HQ828086.1
EVAd100	HQ325852.1
EVAd100	KU936122.1
EVAd100	MF662692.1
EVAd100	MG756720.1
EVAd100	KJ686180.1
EVAd100	KU254596.1
EVAd100	KU254595.1
EVAd100	GQ231938.1
EVAd100	GQ231933.1
EVAd100	JX244182.1
EVAd100	FJ360545.1
EVAd100	FJ828519.1
EVAd100	FJ600325.1
EVAd100	FJ607336.1
EVAd100	KC436268.1
EVAd100	HM002486.1
EVAd100	FJ713137.1
EVAd100	EU753398.2
EVAd100	GU366191.1
EVAd100	KC436271.1
EVAd100	KJ746493.1
EVAd100	EU753384.2
EVAd100	HM807310.1
EVAd100	FJ357374.1
EVAd100	FJ357373.1
EVAd100	DQ133458.1
EVAd100	MF662680.1
EVAd100	HQ423143.1
EVAd100	HQ423142.1
EVAd100	KJ784495.1
EVAd100	MF662679.1
EVAd100	KC436266.1
EVAd100	JX678874.1
EVAd100	JQ708210.1
EVAd100	HQ647171.1
EVAd100	JX678885.1
EVAd100	HQ188292.1
EVAd100	AF302996.1
EVAd100	KC436265.1
EVAd100	EU131776.1
EVAd100	JQ742002.1
EVAd100	JQ742001.1
EVAd100	AY465356.1
EVAd100	MG756719.1
EVAd100	HM003207.1
EVAd100	HQ694982.1
EVAd100	HQ891927.1
EVAd100	JQ639384.1
EVAd100	KJ004556.1
EVAd100	KY425527.1
EVAd100	JQ316638.1
EVAd100	HM245928.1
EVAd100	KP289431.1
EVAd100	KT345959.1
EVAd100	KT008672.1
EVAd100	MG773125.1
EVAd100	KP198623.1
EVAd100	KP289428.1
EVAd100	KP289427.1
EVAd100	KP289432.1
EVAd100	KP289417.1
EVAd100	JN864019.1
EVAd100	KF668443.1
EVAd100	MF662689.1
EVAd100	JQ074190.1
EVAd100	EU864507.1
EVAd100	KJ004560.1
EVAd100	KJ746494.1
EVAd100	HM053670.1
EVAd100	HQ456309.1
EVAd100	HM002488.1
EVAd100	HQ998852.1
EVAd100	HM002485.1
EVAd100	JN052925.1
EVAd100	GQ994990.1
EVAd100	KP266572.1
EVAd100	HM053669.1
EVAd100	HM053671.1
EVAd100	EU812515.1
EVAd100	JF894382.1
EVAd100	FJ360546.1
EVAd100	GQ892830.1
EVAd100	FJ194964.1
EVAd100	JQ736684.2
EVAd100	JF830007.1
EVAd100	MK652139.1
EVAd100	AB575938.1
EVAd100	LR027543.1
EVAd100	LT719067.1
EVAd100	LR027541.1
EVAd100	LR027542.1
EVAd100	DQ341358.1
EVAd100	AB550341.1
EVAd100	AB575936.1
EVAd100	AB575935.1
EVAd100	LR798440.1
EVAd100	MG672479.1
EVAd100	MG013988.1
EVAd100	MG672480.1
EVAd100	MG672481.1
EVAd100	LR027544.1
EVAd100	MG672478.1
EVAd100	LR027545.1
EVAd100	JF738000.1
EVAd100	JN835312.1
EVAd100	DQ341356.1
EVAd100	KC954664.1
EVAd100	LC506514.1
EVAd100	EF063152.1
EVAd100	MG756705.1
EVAd100	KJ686191.1
EVAd100	KC296444.1
EVAd100	KJ686230.1
EVAd100	DQ341359.1
EVAd100	HQ647172.1
EVAd100	DQ341360.1
EVAd100	AB575937.1
EVAd100	AB747375.1
EVAd100	DQ452074.1
EVAd100	EU414333.2
EVAd100	LT719068.1
EVAd100	U22521.1
EVAd100	LT719065.1
EVAd100	JF905564.1
EVAd100	MH118030.1
EVAd100	MH118029.1
EVAd100	KT277550.1
EVAd100	MH111029.1
EVAd100	MH118031.1
EVAd100	AB192877.1
EVAd100	AY697460.1
EVAd100	JX390655.1
EVAd100	JX390654.1
EVAd100	JX390656.1
EVAd100	AY773285.1
EVAd100	MG253036.1
EVAd100	MG253033.1
EVAd100	MG253035.1
EVAd100	AY697458.1
EVAd100	MH118028.1
EVAd100	LR027527.1
EVAd100	LR027528.1
EVAd100	LT719064.1
EVAd100	LT719063.1
EVAd100	LT719055.1
EVAd100	LT719053.1
EVAd100	LT719049.1
EVAd100	LT719051.1
EVAd100	LT719054.1
EVAd100	HQ424433.2
EVAd100	JQ041367.1
EVAd100	LT719062.1
